p_mois,p_vol,p_ash,p_car,p_sul,u_car
13.525,33.02,36.02,17.435,4.094,34.83
13.805,33.585,33.545,19.065,3.844,36.39
13.62,34.49,31.035,20.855,3.959,33.43
16.725,29.34,36.35,17.585,3.659,31.75
16.695,31.145,35.24,16.92,4.222,33.3
16.035,30.965,34.075,18.925,3.641,34.37
14.53,31.1,35.68,18.69,3.52,34.15
12.615,34.28,30.795,22.31,3.94,39.46
12.175,33.735,34.325,19.765,3.885,36.89
11.44,32.12,38.995,17.445,4.549,33.78
10.26,34.625,35.925,19.19,3.976,38.85
10.225,34.325,36.165,19.285,3.925,37.89
11.55,30.705,38.875,18.87,4.144,34.15
12.37,32.925,36.565,18.14,3.724,35.59
12.885,32.715,36.545,17.855,3.745,35.19
13.835,35,27.9,23.265,3.364,41.04
14.52,35.53,29.435,20.515,3.74,39.38
13.685,36.515,27.575,22.225,3.7,41.42
12.895,37.065,30.615,19.425,3.695,38.66
15.81,33.045,32.63,18.515,4.541,38.025
15.27,32.42,33.11,19.2,3.531,35.595
16.32,32.895,30.71,20.075,3.646,36.775
11.165,34.505,34.87,19.46,4.652,37.64
11.19,34.165,33.725,20.92,3.694,38.17
12.07,34.275,32.3,21.355,3.609,38.76
13.47,34.08,34.375,18.075,4.085,36.045
14.95,31.91,34.69,18.45,3.519,34.865
14.61,31.875,35.865,17.65,3.595,34.2
13.795,34.61,34.92,16.675,4.466,35.55
12.595,33.42,35.565,18.42,3.619,35.77
12.285,34.14,34.445,19.13,3.613,36.82
12.32,35.275,32.42,19.985,4.218,38.48
11.64,34.3,33.81,20.25,4.159,37.95
11.34,34.325,33.96,20.375,4.273,38.2
10.545,35.265,35.64,18.55,4.125,34.48
10.76,34.94,33.18,21.12,4.01,39.125
10.91,34.83,33.555,20.705,4.005,38.93
13.18,31.78,38.715,16.325,3.746,33.18
14.825,31.37,37.13,16.675,3.668,33.155
13.635,33.28,33.04,20.045,3.961,37.52
11.56,33.38,38.11,16.95,3.694,34.91
11.76,33.575,35.09,19.575,3.861,37.07
11.38,32.085,38.15,18.385,3.897,34.86
12.41,33.925,35.795,17.87,3.998,36.01
10.915,35.135,33.67,20.28,4.032,38.82
11.885,31.955,39.04,17.12,3.945,33.545
13.98,33.415,35.935,16.67,4.11,33.775
14.045,33.255,32.11,20.59,4.1,38.46
14.6,32.72,32.955,19.725,4.17,37.9
12.525,33.235,35.175,19.065,4.095,35.215
12.81,33.3,36.71,17.18,4.244,33.69
12.71,34.725,31.56,21.005,3.801,43.175
12.69,34.515,31.725,21.07,3.933,39.915
11.375,34.71,32.075,21.84,4.015,38.94
10.505,33.005,37.85,18.64,4.085,34.785
11.635,33.775,37.11,17.48,4.062,37.225
13.275,35.05,30.215,21.46,3.617,35.885
11.96,34.58,33.085,20.375,3.672,38.595
13.99,33.725,31.505,20.78,3.604,39.42
14.56,33.41,31.705,20.325,4.48,37.375
15.07,33.305,31.615,20.01,3.475,36.97
13.525,34.39,29.845,22.24,3.41,39.13
13.81,32.65,32.305,21.235,3.87,37.01
14.12,32.585,33.69,19.605,3.705,35.75
14.705,33.31,33.805,18.18,3.705,35.56
14.055,32.14,31.9,21.905,3.833,37.415
16.585,31.505,33.525,18.385,3.402,34.085
16.7,31.965,32.965,18.37,3.423,34.21
14.645,31.675,35.785,17.895,3.581,33.89
15.405,32.905,33.41,18.28,3.668,34.835
14.33,31.18,39.95,14.54,3.763,30.595
15.885,31.955,32.735,19.425,3.557,35.83
15.88,32.095,31.38,20.645,3.454,36.235
14.975,33.335,32.02,19.67,3.554,36.34
16.625,29.64,36.855,16.88,3.98,31.56
18.085,30.87,34.635,16.41,3.418,32.5
17.64,30.835,34.01,17.515,3.282,33.47
16.19,31.925,35.28,16.605,3.412,33.56
16.33,30.895,35.435,17.34,3.55,32.98
16.55,30.36,36.245,16.845,3.935,32.03
16.74,30.96,34.885,17.415,3.48,33.17
16.405,31.905,33.735,17.955,3.44,34.235
18.42,28.885,34.5,18.195,4.073,32.58
16.91,30.125,31.845,21.12,3.639,35.53
16.13,30.745,32.865,20.26,3.72,35.395
17.38,30.095,32.935,19.59,3.719,34.5
11.935,32.4,37.755,17.91,3.88,34.23
12.29,31.05,34.69,21.97,3.475,36.975
15.12,30.855,36.335,17.69,3.684,33.13
16.77,31.76,32.34,19.13,3.534,34.68
15.985,32.645,32.14,19.23,3.59,35.49
14.675,31.02,37.38,16.925,3.961,34.15
16.34,32.25,32.285,19.125,3.471,37.53
15.59,32.725,31.925,19.76,3.495,38.08
13.645,32.11,35.975,18.27,4.185,36.3
13.7,30.92,36.975,18.405,3.584,36.735
13.57,30.875,36.017,19.538,4.152,36.19
13.6,31.575,36.56,18.265,3.392,35.68
13.765,31.56,36.26,18.415,3.541,37.705
13.855,30.005,39.435,16.705,3.388,33.365
16.545,33.135,32.035,18.285,4.08,37.71
16.445,31.445,34.775,17.335,3.35,35.05
15.285,31.765,35.205,17.745,3.4,35.59
15.88,32.095,32.755,19.27,3.797,37.725
