p_mois,p_vol,p_ash,p_car,p_sul,u_nit
12.835,32.9,36.885,17.38,3.444,1.339
12.515,33.17,36.745,17.57,3.371,1.305
13.71,32.49,34.965,18.835,3.396,1.377
14.57,32.685,35.325,17.42,4.545,1.229
14.19,32.775,33.945,19.09,3.575,1.355
14.135,33.265,33.21,19.39,3.56,1.357
15.205,33.855,32.835,18.105,4.465,1.202
15.445,32.895,30.85,20.81,3.61,1.357
13.275,31.73,35.595,19.4,3.671,1.429
13.43,31.695,34.755,20.12,3.544,1.415
14.49,33.45,36.325,15.735,4.415,1.236
13.865,32.93,35.05,18.155,3.705,1.426
14.81,33.17,31.945,20.075,3.655,1.401
11.06,33.99,39.2,15.75,4.205,1.272
10.645,31.88,39.885,17.59,3.72,1.301
10.78,31.835,38.825,18.56,3.765,1.365
10.375,32.1,38.935,18.59,3.815,1.343
13.67,33.395,36.6,16.335,4.189,1.179
13.332,32.455,39.29,14.923,3.838,1.22
14.005,32.925,34.53,18.54,3.646,1.309
14.78,32.545,35.045,17.63,3.652,1.234
14.73,31.005,35.745,18.52,3.365,1.305
13.055,32.07,35.86,19.015,3.44,1.377
15.475,32.07,34.145,18.31,3.417,1.3
16.405,30.34,33.74,19.515,3.112,1.339
12.665,32.98,39.81,14.545,4.327,1.089
12.66,32.56,37.575,17.205,3.877,1.26
12.99,32.56,34.665,19.785,3.188,1.538
13.695,32.7,33.71,19.895,3.176,1.487
17.33,32.12,30.825,19.725,3.35,1.48
15.245,32.82,32.38,19.555,3.555,1.366
17.465,31.38,31.975,19.18,3.56,1.332
14.16,31.735,36.76,17.345,4.334,1.175
14.115,33.17,32.3,20.415,3.883,1.321
14.06,33.465,31.715,20.76,3.785,1.352
13.775,33.315,32.34,20.57,3.843,1.354
17.435,31.41,34.825,16.33,4.093,1.151
17.64,31.5,32.22,18.64,3.535,1.308
16.94,31.985,31.13,19.945,3.581,1.342
17.06,32.065,30.605,20.27,3.553,1.367
13.925,33.21,33.76,19.105,3.608,1.324
15.25,33.15,31.085,20.515,3.535,1.382
16.42,31.715,35.085,16.78,3.83,1.236
15.95,31.73,33.285,19.035,4.031,1.286
17.195,31.19,32.81,18.805,3.277,1.318
17.645,30.53,32.965,18.86,3.199,1.321
16.46,32.1,31.945,19.495,3.249,1.343
18.155,31.95,32.665,17.23,3.482,1.248
19.015,32.165,31.38,17.44,3.997,1.21
18.8,31.59,29.955,19.655,3.457,1.313
16.845,32.215,32.075,18.865,3.531,1.326
16.745,29.93,34.62,18.705,3.383,1.258
16.795,30.425,32.53,20.25,3.336,1.299
15.68,30.62,33.53,20.17,3.111,1.297
15.235,30.705,36.03,18.03,3.302,1.239
17.68,30.195,33.495,18.63,3.45,1.264
19.24,29.79,32.26,18.71,3.735,1.209
18.855,30.42,32.115,18.61,3.38,1.256
18.255,30.67,32.625,18.45,3.525,1.259
16.145,31.085,36.155,16.615,3.73,1.188
15.46,31.295,34.945,18.3,3.675,1.26
16.635,31.085,33.595,18.685,3.735,1.252
15.895,32.395,35.64,16.07,3.833,1.196
13.935,31.32,37.6,17.145,3.943,1.215
14.88,31.215,36.385,17.52,3.602,1.236
14.09,32.21,36.835,16.865,3.354,1.236
16.995,33.015,32.015,17.975,4.185,1.22
16.225,31.27,33.985,18.52,3.53,1.254
15.2,31.765,35.025,18.01,3.57,1.265
14.02,31.305,38.075,16.6,4.418,1.145
14.26,33.905,32.64,19.195,3.98,1.299
13.88,32.915,34.04,19.165,3.769,1.305
